League,Country,League_Name,Round,League_Type,Season,Gender
eng-premier-league,England,EPL,38,Five_League,2025-2026,Men
esp-primera-division,Spain,La Liga,38,Five_League,2025-2026,Men
bundesliga,Germany,Bundesliga,34,Five_League,2025-2026,Men
fra-ligue-1,France,Ligue 1,34,Five_League,2025-2026,Men
ita-serie-a,Italy,Serie A,38,Five_League,2025-2026,Men
